Num_of_Elem,Density_calc,dHmix,dSmix,Atom.Size.Diff,Elect.Diff,VEC,Phases
5.0,8.470881725,-8.395061728,13.14594406,3.737504762,0.049615808,4.555555556,BCC_SS
5.0,6.606534579,-9.351800554,13.33280622,3.863331752,0.232764906,4.684210526,BCC_SS
5.0,7.075664374,-4.041522491,12.70837022,4.003399323,0.243216622,4.882352941,BCC_SS
5.0,8.805485735,-4.816608997,12.70837022,3.832439709,0.05017616,4.647058824,BCC_SS
5.0,7.128849756,-3.35600907,12.56917544,4.017794358,0.244332586,4.904761905,BCC_SS
6.0,7.71,-4.86,13.46,4.5,0.11,4.34,BCC_SS
6.0,7.71,-4.86,13.46,4.5,0.11,4.34,BCC_SS
6.0,7.71,-4.86,13.46,4.5,0.11,4.34,BCC_SS
5.0,5.785823445,-10.96,12.22898133,6.018491588,0.046861498,4.6,BCC_SS
5.0,6.827812983,-7.012345679,13.14594406,3.93239278,0.237834884,4.777777778,BCC_SS
5.0,6.73636013,-8.015122873,13.24232516,3.904515056,0.235770867,4.739130435,BCC_SS
5.0,6.065323057,-13.81818182,13.2546386,3.669956489,0.219190849,4.454545455,BCC_SS
5.0,5.64713986,-15.40740741,13.14594406,5.232513176,0.037646832,4.444444444,BCC_SS
5.0,5.64713986,-15.40740741,13.14594406,5.232513176,0.037646832,4.444444444,BCC_SS
5.0,5.64713986,-15.40740741,13.14594406,5.232513176,0.037646832,4.444444444,Im
5.0,5.64713986,-15.40740741,13.14594406,5.232513176,0.037646832,4.444444444,Im
5.0,6.57,-13.6,13.38,4.87,0.23,4.8,FCC_SS
5.0,6.57,-13.6,13.38,4.87,0.23,4.8,FCC_SS
5.0,6.57,-13.6,13.38,4.87,0.23,4.8,FCC_SS
5.0,6.57,-13.6,13.38,4.87,0.23,4.8,FCC_SS
5.0,6.57,-13.6,13.38,4.87,0.23,4.8,FCC_SS
5.0,6.407773123,-11.04,13.38161053,3.796497761,0.227982455,4.6,BCC_SS
4.0,9.599763191,-2.75,11.52629192,4.086753027,0.265459507,5.0,BCC_SS
5.0,6.85,-15.12,12.51,3.07,0.08,4.2,BCC_SS
5.0,6.85,-15.12,12.51,3.07,0.08,4.2,BCC_SS
5.0,6.85,-15.12,12.51,3.07,0.08,4.2,BCC_SS
5.0,7.89,-13.44,13.38,3.16,0.05,4.4,BCC_SS
5.0,10.39624111,0.871231589,12.44557018,4.416208731,0.101210115,4.614770459,BCC_SS
5.0,10.39624111,0.871231589,12.44557018,4.416208731,0.101210115,4.614770459,BCC_SS
5.0,10.39624111,0.871231589,12.44557018,4.416208731,0.101210115,4.614770459,BCC_SS
5.0,10.39624111,0.871231589,12.44557018,4.416208731,0.101210115,4.614770459,BCC_SS
5.0,7.889823331,-0.25,12.96707842,5.730437906,0.258988417,4.5,BCC_SS
5.0,7.889823331,-0.25,12.96707842,5.730437906,0.258988417,4.5,BCC_SS
5.0,9.910915715,2.72,13.38161053,4.99441746,0.118253964,4.4,BCC_SS
4.0,8.431908695,2.36,12.84151644,4.915964063,0.118594899,4.3,BCC_SS
4.0,8.431908695,2.36,12.84151644,4.915964063,0.118594899,4.3,BCC_SS
4.0,8.431908695,2.36,12.84151644,4.915964063,0.118594899,4.3,BCC_SS
4.0,8.431908695,2.36,12.84151644,4.915964063,0.118594899,4.3,BCC_SS
4.0,8.431908695,2.36,12.84151644,4.915964063,0.118594899,4.3,BCC_SS
4.0,8.431908695,2.36,12.84151644,4.915964063,0.118594899,4.3,BCC_SS
4.0,8.431908695,2.36,12.84151644,4.915964063,0.118594899,4.3,BCC_SS
4.0,8.431908695,2.36,12.84151644,4.915964063,0.118594899,4.3,BCC_SS
4.0,8.431908695,2.36,12.84151644,4.915964063,0.118594899,4.3,BCC_SS
4.0,8.431908695,2.36,12.84151644,4.915964063,0.118594899,4.3,BCC_SS
4.0,8.431908695,2.36,12.84151644,4.915964063,0.118594899,4.3,BCC_SS
4.0,8.431908695,2.36,12.84151644,4.915964063,0.118594899,4.3,BCC_SS
4.0,8.431908695,2.36,12.84151644,4.915964063,0.118594899,4.3,BCC_SS
4.0,8.431908695,2.36,12.84151644,4.915964063,0.118594899,4.3,BCC_SS
4.0,8.431908695,2.36,12.84151644,4.915964063,0.118594899,4.3,BCC_SS
4.0,8.431908695,2.36,12.84151644,4.915964063,0.118594899,4.3,BCC_SS
4.0,8.431908695,2.36,12.84151644,4.915964063,0.118594899,4.3,BCC_SS
4.0,8.431908695,2.36,12.84151644,4.915964063,0.118594899,4.3,BCC_SS
4.0,8.431908695,2.36,12.84151644,4.915964063,0.118594899,4.3,BCC_SS
4.0,8.431908695,2.36,12.84151644,4.915964063,0.118594899,4.3,BCC_SS
4.0,8.431908695,2.36,12.84151644,4.915964063,0.118594899,4.3,BCC_SS
5.0,8.493765586,0.98,11.44944891,4.495453867,0.114716771,4.1,BCC_SS
6.0,9.922611245,2.467120181,14.33614554,5.272716799,0.189533381,4.476190476,BCC_SS
6.0,9.933453944,2.247933884,14.69798576,5.486928917,0.232176194,4.545454545,BCC_SS
5.0,8.294155814,-2.188365651,12.6484181,8.125950407,0.165384845,4.394736842,BCC_SS
5.0,8.294155814,-2.188365651,12.6484181,8.125950407,0.165384845,4.394736842,BCC_SS
5.0,8.294155814,-2.188365651,12.6484181,8.125950407,0.165384845,4.394736842,BCC_SS
6.0,9.943533814,2.056710775,14.85564568,5.653424959,0.262094227,4.608695652,BCC_SS
5.0,8.7,-1.6,13.38,5.06,0.31,4.6,BCC_SS
5.0,8.7,-1.6,13.38,5.06,0.31,4.6,BCC_SS
5.0,8.7,-1.6,13.38,5.06,0.31,4.6,BCC_SS
5.0,8.7,-1.6,13.38,5.06,0.31,4.6,BCC_SS
5.0,9.9,2.72,13.38,4.01,0.12,4.4,BCC_SS
5.0,9.9,2.72,13.38,4.01,0.12,4.4,BCC_SS
5.0,9.9,2.72,13.38,4.01,0.12,4.4,BCC_SS
5.0,9.9,2.72,13.38,4.01,0.12,4.4,BCC_SS
5.0,9.9,2.72,13.38,4.01,0.12,4.4,BCC_SS
5.0,9.9,2.72,13.38,4.01,0.12,4.4,BCC_SS
5.0,9.9,2.72,13.38,4.01,0.12,4.4,BCC_SS
5.0,9.9,2.72,13.38,4.01,0.12,4.4,BCC_SS
5.0,9.9,2.72,13.38,4.01,0.12,4.4,BCC_SS
